t,P_L,P_S1,P_S2,P_S3,P_R,norm
735.7444,8.125933e-01,5.660287e-04,3.528873e-02,2.006384e-04,1.391129e-03,1.0000000000
739.0887,8.119705e-01,5.473653e-04,3.552795e-02,2.015308e-04,1.429237e-03,1.0000000000
742.4330,8.112327e-01,5.332503e-04,3.574971e-02,2.000440e-04,1.467507e-03,1.0000000000
745.7773,8.106076e-01,5.172520e-04,3.597242e-02,1.991734e-04,1.504466e-03,1.0000000000
749.1216,8.099069e-01,5.032791e-04,3.619220e-02,1.985831e-04,1.546285e-03,1.0000000000
752.4659,8.092458e-01,4.895322e-04,3.641227e-02,1.969437e-04,1.581866e-03,1.0000000000
755.8102,8.085809e-01,4.769708e-04,3.661946e-02,1.957247e-04,1.626670e-03,1.0000000000
759.1545,8.079121e-01,4.645594e-04,3.683754e-02,1.948231e-04,1.661327e-03,1.0000000000
762.4988,8.072447e-01,4.537683e-04,3.704526e-02,1.921748e-04,1.707543e-03,1.0000000000
765.8430,8.065978e-01,4.422882e-04,3.724572e-02,1.915446e-04,1.744273e-03,1.0000000000
769.1873,8.059070e-01,4.337505e-04,3.746026e-02,1.891569e-04,1.788801e-03,1.0000000000
772.5316,8.052979e-01,4.233983e-04,3.765513e-02,1.870460e-04,1.827958e-03,1.0000000000
775.8759,8.045748e-01,4.157351e-04,3.785606e-02,1.854861e-04,1.873294e-03,1.0000000000
779.2202,8.039782e-01,4.080819e-04,3.806183e-02,1.828235e-04,1.911606e-03,1.0000000000
782.5645,8.032986e-01,4.011504e-04,3.824991e-02,1.807415e-04,1.958824e-03,1.0000000000
785.9088,8.026076e-01,3.942094e-04,3.845235e-02,1.782845e-04,1.997461e-03,1.0000000000
789.2531,8.020388e-01,3.908898e-04,3.864874e-02,1.757501e-04,2.044147e-03,1.0000000000
792.5974,8.012819e-01,3.830348e-04,3.883404e-02,1.731794e-04,2.085239e-03,1.0000000000
795.9417,8.007022e-01,3.822548e-04,3.904200e-02,1.706532e-04,2.129778e-03,1.0000000000
799.2860,8.000153e-01,3.767683e-04,3.922146e-02,1.672692e-04,2.173145e-03,1.0000000000
802.6303,7.993532e-01,3.750582e-04,3.942277e-02,1.656318e-04,2.217924e-03,1.0000000000
805.9746,7.987132e-01,3.734504e-04,3.961791e-02,1.612638e-04,2.259795e-03,1.0000000000
809.3189,7.980416e-01,3.721579e-04,3.980007e-02,1.595236e-04,2.306449e-03,1.0000000000
812.6631,7.973847e-01,3.711875e-04,4.001269e-02,1.559034e-04,2.348891e-03,1.0000000000
816.0074,7.967141e-01,3.735202e-04,4.018799e-02,1.529534e-04,2.393196e-03,1.0000000000
819.3517,7.960751e-01,3.717958e-04,4.040107e-02,1.499248e-04,2.438263e-03,1.0000000000
822.6960,7.953558e-01,3.770523e-04,4.058871e-02,1.469818e-04,2.481520e-03,1.0000000000
826.0403,7.947500e-01,3.766653e-04,4.079260e-02,1.432720e-04,2.526532e-03,1.0000000000
829.3846,7.940198e-01,3.826026e-04,4.099029e-02,1.410886e-04,2.569600e-03,1.0000000000
832.7289,7.933656e-01,3.854215e-04,4.120321e-02,1.369112e-04,2.615066e-03,1.0000000000
836.0732,7.926999e-01,3.911759e-04,4.139337e-02,1.344279e-04,2.657849e-03,1.0000000000
839.4175,7.919619e-01,3.969187e-04,4.162085e-02,1.313075e-04,2.702621e-03,1.0000000000
842.7618,7.913407e-01,4.042064e-04,4.181883e-02,1.276695e-04,2.745312e-03,1.0000000000
846.1061,7.905747e-01,4.106335e-04,4.204246e-02,1.251240e-04,2.791215e-03,1.0000000000
849.4504,7.899160e-01,4.213374e-04,4.225676e-02,1.219427e-04,2.831137e-03,1.0000000000
852.7947,7.892061e-01,4.283845e-04,4.248695e-02,1.186428e-04,2.878890e-03,1.0000000000
856.1390,7.884531e-01,4.406986e-04,4.270474e-02,1.160942e-04,2.917711e-03,1.0000000000
859.4832,7.877768e-01,4.514210e-04,4.294893e-02,1.128774e-04,2.964534e-03,1.0000000000
862.8275,7.870375e-01,4.636118e-04,4.317394e-02,1.101912e-04,3.004495e-03,1.0000000000
866.1718,7.862470e-01,4.769455e-04,4.342807e-02,1.073994e-04,3.048898e-03,1.0000000000
869.5161,7.856120e-01,4.929267e-04,4.366852e-02,1.044321e-04,3.090304e-03,1.0000000000
872.8604,7.847257e-01,5.054125e-04,4.392202e-02,1.024134e-04,3.133636e-03,1.0000000000
876.2047,7.840787e-01,5.255480e-04,4.419234e-02,9.907075e-05,3.173969e-03,1.0000000000
879.5490,7.832281e-01,5.408330e-04,4.444301e-02,9.725370e-05,3.217590e-03,1.0000000000
882.8933,7.824923e-01,5.605112e-04,4.473142e-02,9.464466e-05,3.258176e-03,1.0000000000
886.2376,7.816609e-01,5.814751e-04,4.500416e-02,9.234886e-05,3.299739e-03,1.0000000000
